iter	MultiClass
0	2.379538004
1	2.340626359
2	2.309321038
3	2.286286137
4	2.265366673
5	2.249595298
6	2.234317259
7	2.219888501
8	2.20736818
9	2.196620153
10	2.186797533
11	2.178724764
12	2.171284768
13	2.16296677
14	2.156085542
15	2.149331184
16	2.142441665
17	2.137554485
18	2.13216623
19	2.127336665
20	2.122840452
21	2.119751131
22	2.114756057
23	2.109702314
24	2.104844334
25	2.102604165
26	2.098273353
27	2.092811131
28	2.088909606
29	2.085603
30	2.081852012
31	2.077290227
32	2.07174224
33	2.067886886
34	2.064421142
35	2.058352728
36	2.054498427
37	2.051721363
38	2.047037576
39	2.043467894
40	2.040105215
41	2.03649788
42	2.03332981
43	2.030041673
44	2.025730021
45	2.023192367
46	2.019984327
47	2.016767236
48	2.013164645
49	2.009647791
50	2.005856002
51	2.003579688
52	2.000964365
53	1.998547654
54	1.996048783
55	1.992970375
56	1.991382556
57	1.988309374
58	1.984824405
59	1.982548398
60	1.979996457
61	1.977241892
62	1.974197501
63	1.972012191
64	1.970367641
65	1.966898764
66	1.965334326
67	1.96358723
68	1.96064568
69	1.95815464
70	1.955493527
71	1.953333847
72	1.951026012
73	1.949441335
74	1.948060345
75	1.945453074
76	1.942332359
77	1.939399428
78	1.93767959
79	1.934845638
80	1.933202101
81	1.931216068
82	1.929104659
83	1.926750426
84	1.924859782
85	1.923335946
86	1.921224712
87	1.918985256
88	1.917105463
89	1.914995497
90	1.913273598
91	1.911282553
92	1.908358496
93	1.90659106
94	1.90306414
95	1.901140611
96	1.899190802
97	1.897703121
98	1.894977427
99	1.893446009
100	1.891617752
101	1.889885192
102	1.887968374
103	1.886481686
104	1.884528596
105	1.88375564
106	1.880935895
107	1.878543106
108	1.876677731
109	1.875297291
110	1.873222253
111	1.871641057
112	1.868732238
113	1.867072317
114	1.864679839
115	1.86241303
116	1.860764929
117	1.858390335
118	1.856596241
119	1.854248139
120	1.852740247
121	1.85059049
122	1.848587854
123	1.846793414
124	1.844784903
125	1.843283086
126	1.842209341
127	1.840893055
128	1.839425085
129	1.837067165
130	1.83539237
131	1.833406783
132	1.832099198
133	1.830645983
134	1.829230765
135	1.827779078
136	1.826244448
137	1.824630859
138	1.823032125
139	1.821557944
140	1.819914835
141	1.819008832
142	1.816530499
143	1.814490667
144	1.813200938
145	1.811194796
146	1.80984253
147	1.808486715
148	1.807434661
149	1.805389575
150	1.803758333
151	1.802191224
152	1.800372814
153	1.799489943
154	1.797908676
155	1.796737229
156	1.795424081
157	1.794312823
158	1.792767922
159	1.791230755
160	1.789840061
161	1.788295965
162	1.786793876
163	1.786103956
164	1.784976323
165	1.783051176
166	1.780161995
167	1.77806811
168	1.77641239
169	1.775233453
170	1.774136683
171	1.772546686
172	1.77163566
173	1.769272807
174	1.767521461
175	1.766031971
176	1.765028028
177	1.763823983
178	1.762489606
179	1.75998825
180	1.75818222
181	1.757024984
182	1.755725201
183	1.754436813
184	1.752866485
185	1.751416847
186	1.750130257
187	1.748377759
188	1.747371004
189	1.745720083
190	1.743993398
191	1.742610769
192	1.741112272
193	1.740011351
194	1.738972077
195	1.737836166
196	1.736033227
197	1.734535256
198	1.733294414
199	1.732361188
200	1.730401023
201	1.729372571
202	1.727955218
203	1.72676118
204	1.725001479
205	1.723637597
206	1.721942302
207	1.719426686
208	1.717933667
209	1.716208782
210	1.714582762
211	1.713283373
212	1.711616799
213	1.710421802
214	1.709453896
215	1.708381373
216	1.70678481
217	1.705274683
218	1.704303275
219	1.703182664
220	1.702357767
221	1.700845425
222	1.699600167
223	1.698663469
224	1.697003287
225	1.695352042
226	1.693411468
227	1.6923626
228	1.691130245
229	1.689374792
230	1.688728604
231	1.687652113
232	1.68690203
233	1.684663076
234	1.683377554
235	1.682410708
236	1.681431851
237	1.68073778
238	1.679733334
239	1.67878315
240	1.678080008
241	1.676432428
242	1.675258515
243	1.673539696
244	1.671931421
245	1.670944622
246	1.669791549
247	1.668156008
248	1.666267895
249	1.664550685
250	1.663396785
251	1.662295974
252	1.661299511
253	1.660018651
254	1.65933549
255	1.658370365
256	1.657263371
257	1.656642188
258	1.655496014
259	1.654128803
260	1.653069382
261	1.65191118
262	1.650778009
263	1.649039173
264	1.64776441
265	1.646566635
266	1.645028024
267	1.644215982
268	1.643124675
269	1.641882423
270	1.64036773
271	1.639677482
272	1.638148613
273	1.637147215
274	1.636134952
275	1.634776194
276	1.633888185
277	1.632819683
278	1.632117753
279	1.631008276
280	1.629538935
281	1.628458873
282	1.627419661
283	1.626445263
284	1.625878418
285	1.624995595
286	1.623800105
287	1.622878713
288	1.621032496
289	1.620216908
290	1.618228029
291	1.616738518
292	1.61602908
293	1.615154152
294	1.614155358
295	1.612747353
296	1.610989253
297	1.61015946
298	1.609086449
299	1.608090134
300	1.60700845
301	1.605708389
302	1.60454251
303	1.603616712
304	1.602317305
305	1.60132881
306	1.600149343
307	1.598395956
308	1.597225791
309	1.595694893
310	1.594797246
311	1.593822304
312	1.59242993
313	1.591676863
314	1.590585861
315	1.589162737
316	1.587387048
317	1.586499464
318	1.58486932
319	1.583707132
320	1.582254407
321	1.581352097
322	1.580419796
323	1.579493562
324	1.577699617
325	1.576408366
326	1.575542815
327	1.574440138
328	1.573829982
329	1.572677583
330	1.571273427
331	1.570643568
332	1.56953241
333	1.568265665
334	1.566748902
335	1.565967989
336	1.564781427
337	1.563806452
338	1.563240348
339	1.562264369
340	1.561189
341	1.560269631
342	1.559635306
343	1.558611044
344	1.557872772
345	1.557089648
346	1.556487403
347	1.555550559
348	1.554971366
349	1.553699952
350	1.55301697
351	1.551804371
352	1.55119839
353	1.550393497
354	1.549400267
355	1.548914007
356	1.548450596
357	1.547663943
358	1.547062855
359	1.546208497
360	1.54544738
361	1.544386557
362	1.542603963
363	1.541881631
364	1.541313636
365	1.540616844
366	1.539708352
367	1.538570586
368	1.537617585
369	1.536612824
370	1.535780065
371	1.534635161
372	1.533988725
373	1.533304178
374	1.532160584
375	1.530891025
376	1.529369047
377	1.528566816
378	1.527376189
379	1.526573203
380	1.525530303
381	1.524740008
382	1.524139524
383	1.523375057
384	1.52218989
385	1.521014031
386	1.520244818
387	1.519353709
388	1.518323468
389	1.517527316
390	1.517049235
391	1.51583816
392	1.515426806
393	1.514437732
394	1.514090531
395	1.513090053
396	1.51232826
397	1.511757095
398	1.510451903
399	1.509645408
400	1.508376303
401	1.506880849
402	1.506351265
403	1.505448184
404	1.504512602
405	1.503534075
406	1.502769618
407	1.501500855
408	1.500847221
409	1.499938475
410	1.499043515
411	1.497868399
412	1.497232075
413	1.496657811
414	1.495570636
415	1.494397572
416	1.493681335
417	1.49321128
418	1.492670245
419	1.492116794
420	1.491565816
421	1.490540888
422	1.490070116
423	1.489179036
424	1.488358245
425	1.487358828
426	1.486404919
427	1.48584155
428	1.485240764
429	1.484796174
430	1.484204324
431	1.483064645
432	1.482335419
433	1.481669721
434	1.480434123
435	1.479253205
436	1.478131404
437	1.477565056
438	1.476592309
439	1.475928687
440	1.47545933
441	1.474591221
442	1.473742606
443	1.472978507
444	1.472369479
445	1.471618782
446	1.470897307
447	1.46964922
448	1.469110575
449	1.467817026
450	1.466816292
451	1.46571095
452	1.464538295
453	1.463644534
454	1.462648321
455	1.461767689
456	1.460865419
457	1.460027915
458	1.459184953
459	1.457849834
460	1.457396208
461	1.456611992
462	1.4560524
463	1.45507858
464	1.453913862
465	1.452734514
466	1.451902164
467	1.451151943
468	1.450570773
469	1.449981861
470	1.449107147
471	1.448252012
472	1.447623172
473	1.447001918
474	1.446124007
475	1.445460042
476	1.445151023
477	1.444443278
478	1.443969367
479	1.442996889
480	1.442386664
481	1.441734801
482	1.440551843
483	1.439751184
484	1.439077809
485	1.438528563
486	1.437917228
487	1.437258852
488	1.436346254
489	1.435908933
490	1.435424989
491	1.434552514
492	1.433538415
493	1.432987448
494	1.431742856
495	1.430801689
496	1.429821145
497	1.42909115
498	1.428078702
499	1.427628224
500	1.426502314
501	1.425531136
502	1.42472625
503	1.424177604
504	1.423526312
505	1.422958435
506	1.422563924
507	1.422036009
508	1.420914476
509	1.420271645
510	1.419646143
511	1.418916397
512	1.418473554
513	1.417623493
514	1.417141853
515	1.416267702
516	1.41571093
517	1.41484282
518	1.413870156
519	1.412626887
520	1.412246447
521	1.411321115
522	1.41045472
523	1.40958225
524	1.408604224
525	1.407303703
526	1.406628749
527	1.405597174
528	1.405010991
529	1.404388228
530	1.403585521
531	1.402976724
532	1.402098173
533	1.40152795
534	1.401224242
535	1.400503862
536	1.3994562
537	1.398675019
538	1.398009824
539	1.396921986
540	1.395997722
541	1.395474058
542	1.394922436
543	1.393969581
544	1.393562678
545	1.392783735
546	1.391581585
547	1.391174795
548	1.390474536
549	1.389557357
550	1.388959715
551	1.38819913
552	1.387356368
