iter	Passed	Remaining
0	2867	2864777
1	5381	2685231
2	7781	2586134
3	10481	2609911
4	13196	2626013
5	15840	2624285
6	18366	2605481
7	20815	2581136
8	23191	2553632
9	25681	2542429
10	28247	2539742
11	30876	2542165
12	33555	2547659
13	36340	2559404
14	38861	2551895
15	41270	2538156
16	43863	2536362
17	46428	2532946
18	49326	2546797
19	52168	2556250
20	55067	2567179
21	58002	2578478
22	61672	2619735
23	64751	2633221
24	68050	2653966
25	70855	2654360
26	73651	2654199
27	76868	2668448
28	80447	2693606
29	84237	2723692
30	88423	2763960
31	94458	2857384
32	98566	2888283
33	102395	2909223
34	107116	2953360
35	111614	2988789
36	115616	3009157
37	119954	3036747
38	123636	3046541
39	127759	3066225
40	132347	3095646
41	136735	3118877
42	141682	3153254
43	146421	3181333
44	151788	3221285
45	155604	3227106
46	159465	3233422
47	163689	3246516
48	167581	3252452
49	171561	3259667
50	176275	3280110
51	179972	3281041
52	184124	3289925
53	188436	3301124
54	192177	3301960
55	196072	3305228
56	199254	3296444
57	202471	3288423
58	205750	3281545
59	209377	3280254
60	213738	3290166
61	218872	3311333
62	223981	3331284
63	227942	3333656
64	232838	3349296
65	237250	3357460
66	241878	3368247
67	245327	3362434
68	248866	3357896
69	252434	3353778
70	256261	3353056
71	259858	3349284
72	263838	3350391
73	267265	3344426
74	271081	3343344
75	274151	3333107
76	278332	3336378
77	282982	3344997
78	286972	3345585
79	291000	3346504
80	294397	3340138
81	298138	3337697
82	301694	3333182
83	305092	3326957
84	308291	3318666
85	311709	3312819
86	314964	3305313
87	318355	3299324
88	321749	3293418
89	324864	3284739
90	328100	3277396
91	331312	3269911
92	334644	3263681
93	338081	3258526
94	341323	3251552
95	344436	3243444
96	347641	3236293
97	351166	3232161
98	354431	3225685
99	357734	3219608
100	361039	3213612
101	364586	3209791
102	368064	3205374
103	371237	3198358
104	374444	3191694
105	377602	3184683
106	380818	3178233
107	383873	3170507
108	387118	3164429
109	390351	3158301
110	393536	3151838
111	396644	3144823
112	399832	3138507
113	402965	3131823
114	406051	3124834
115	409261	3118851
116	412517	3113275
117	415949	3109045
118	419120	3102898
119	422579	3098916
120	425868	3093704
121	429088	3088033
122	432411	3083126
123	435726	3078200
124	438961	3072730
125	442192	3067271
126	445421	3061834
127	448721	3056917
128	451994	3051839
129	455157	3046051
130	458308	3040231
131	461359	3033790
132	464404	3027356
133	467683	3022493
134	470924	3017404
135	474054	3011639
136	477431	3007468
137	480652	3002333
138	483431	2994494
139	486224	2986808
140	489600	2982746
141	492416	2975304
